transcript,label
"I am a Sub-Inspector with the Narcotics Control Bureau. You have been named in an FIR filed at Delhi Police Station. A parcel booked in your name containing illegal substances was intercepted at customs. Stay on this call and do not contact any lawyer until verification is complete. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"Do not disconnect this video call under any circumstances, this is now an official proceeding. To verify your identity and clear your name, transfer Rs 15 to this RBI verification account. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. This falls under Section 384 of the IT Act and PMLA. This is a call from RBI's Fraud Monitoring Cell.",1
"Final notice: your Amazon KYC has expired, account access will be restricted today. Confirm your details within 24 hours: bit.ly/amazon-verify",1
"Good afternoon, This is a survey call about your recent visit to our store, would you have two minutes to share feedback? No urgent action is needed.",0
This falls under Section 120B of the IT Act and PMLA. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. You are being contacted by the Enforcement Directorate regarding your bank account. Purchase gift cards worth Rs 75 and share the codes for verification purposes.,1
"Congratulations, your loan application has been approved, our relationship manager will call you to explain the next steps at your convenience. This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. Feel free to call back if anything is unclear.",0
ALERT: Unusual sign-in activity detected on your Amazon account. Confirm your details within 24 hours: bit.ly/amazon-verify,1
"A warrant has been issued for your arrest under Section 120B unless this is resolved today. This is being recorded as evidence for the Supreme Court proceeding. You have been named in an FIR filed at Bengaluru Police Station. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"Hello, Can you send me the report by end of day? No rush if you're busy, tomorrow morning also works. Have a good day.",0
"I am a Sub-Inspector with the Narcotics Control Bureau. Your case reference number is REF654203, please note it down. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. Your Aadhaar number has been used in a money laundering case involving Rs 5 lakh. This is Officer Iyer calling from the Cyber Crime Cell, Mumbai. You are not permitted to inform any family member about this investigation, it is confidential.",1
"This is a courtesy call from your insurance provider to remind you about your policy renewal, no urgent action is required. Have a good day.",0
"Hello, Hi, this is Reddy calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? This is Sharma from the school regarding the parent-teacher meeting scheduled next week. Let me know if you have any questions.",0
"Hi, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Let me know if you have any questions.",0
"Hello, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Let me know if you have any questions.",0
"I am Inspector Sharma from CBI Headquarters, Delhi. This falls under Section 66D of the IT Act and PMLA. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Your bank account will be frozen in the next 30 minutes if you do not comply. Send Rs 10 via UPI to this ID immediately to avoid asset seizure. Do not disconnect this video call under any circumstances, this is now an official proceeding.",1
"This call is from Customs Department, Mumbai Airport division. Your case reference number is REF938416, please note it down. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol. This is a non-bailable offence. You must cooperate immediately or face digital arrest.",1
"This call is from Customs Department, Mumbai Airport division. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. Do not go to the police station yourself, we will guide you through the process here. A parcel booked in your name containing illegal substances was intercepted at customs. This is Officer Sharma calling from the Cyber Crime Cell, Mumbai.",1
"Dear customer, your Axis Bank account will be suspended in 24 hours due to KYC non-compliance. Click here to verify: http://axisbank-kyc-verify.com/update",1
"Hi, This is Reddy from the school regarding the parent-teacher meeting scheduled next week. This is a courtesy call from your insurance provider to remind you about your policy renewal, no urgent action is required. No urgent action is needed.",0
"Hello, Reminder: your gym membership renews next week. No action needed if you'd like to continue. Can you send me the report by end of day? No rush if you're busy, tomorrow morning also works. Feel free to call back if anything is unclear.",0
"Good morning, Hey, are we still meeting for lunch tomorrow? Let me know what time works. This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. Thanks for your time.",0
"You have been named in an FIR filed at Chennai Police Station. Transfer funds to this account for RBI clearance, failure to comply will result in arrest. FIR number 291/2026 has been registered against you. A parcel booked in your name containing illegal substances was intercepted at customs. This call is from Customs Department, Mumbai Airport division.",1
Reminder: your gym membership renews next week. No action needed if you'd like to continue. Feel free to call back if anything is unclear.,0
"This is Nair from the school regarding the parent-teacher meeting scheduled next week. This is the income tax department's official portal notification: your refund has been processed, please check the portal at your convenience. No urgent action is needed.",0
"This is a call from RBI's Fraud Monitoring Cell. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. To verify your identity and clear your name, transfer Rs 75 to this RBI verification account. This is Officer Gupta calling from the Cyber Crime Cell, Mumbai. Stay on this call and do not contact any lawyer until verification is complete.",1
"Good morning, Hi, just checking in about the delivery of your order, it should arrive by Thursday. This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it.",0
"I am a Sub-Inspector with the Narcotics Control Bureau. If you disconnect this call, a team will be sent to your residence within the hour. To verify your identity and clear your name, transfer Rs 75 to this RBI verification account. You are not permitted to inform any family member about this investigation, it is confidential. FIR number 625/2026 has been registered against you.",1
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Share the OTP sent to your phone so we can verify your account is not compromised. This is being recorded as evidence for the Supreme Court proceeding. Your Aadhaar number has been used in a money laundering case involving Rs 5 lakh. Do not disconnect this video call under any circumstances, this is now an official proceeding. This call is from Customs Department, Mumbai Airport division.",1
Your SBI account will be permanently deactivated unless you verify immediately. Update your KYC immediately at sbi-online-update.in/kyc,1
"Good afternoon, Hi, just checking in about the delivery of your order, it should arrive by Thursday. Hey, are we still meeting for lunch tomorrow? Let me know what time works. Feel free to call back if anything is unclear.",0
"Hey, Hi, this is Patel, I wanted to follow up on the property documents whenever you get a chance.",0
"I am Inspector Nair from CBI Headquarters, Delhi. A parcel booked in your name containing illegal substances was intercepted at customs. This is being recorded as evidence for the Supreme Court proceeding. I am Inspector Patel from CBI Headquarters, Delhi. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
Your Amazon account has been locked due to suspicious activity. Verify your identity now at amazon-secure-login.net to avoid suspension.,1
"Hey, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. This is a survey call about your recent visit to our store, would you have two minutes to share feedback? Feel free to call back if anything is unclear.",0
"This is a call from RBI's Fraud Monitoring Cell. A parcel booked in your name containing illegal substances was intercepted at customs. Send Rs 10 via UPI to this ID immediately to avoid asset seizure. This is Officer Singh calling from the Cyber Crime Cell, Mumbai. You are not permitted to inform any family member about this investigation, it is confidential.",1
"Hello, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Thanks for your time.",0
"Good morning, Hi, this is Patel calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? Let me know if you have any questions.",0
"Hello, This is a survey call about your recent visit to our store, would you have two minutes to share feedback? This is Gupta from the school regarding the parent-teacher meeting scheduled next week.",0
"Hey, This is the income tax department's official portal notification: your refund has been processed, please check the portal at your convenience. Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Feel free to call back if anything is unclear.",0
"Dear customer, your Paytm account will be suspended in 24 hours due to KYC non-compliance. Update your KYC immediately at paytm-online-update.in/kyc",1
"Good afternoon, This is Airtel customer care. We noticed your data pack expires today, would you like to renew it? This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. No urgent action is needed.",0
"Hello, This is the income tax department's official portal notification: your refund has been processed, please check the portal at your convenience. This is the income tax department's official portal notification: your refund has been processed, please check the portal at your convenience.",0
"You have been named in an FIR filed at Pune Police Station. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol. You have been named in an FIR filed at Delhi Police Station. If you disconnect this call, a team will be sent to your residence within the hour. Send Rs 5 via UPI to this ID immediately to avoid asset seizure. Your case reference number is REF899743, please note it down.",1
"Hey, This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. Feel free to call back if anything is unclear.",0
ALERT: Unusual sign-in activity detected on your PhonePe account. Verify your identity now at phonepe-secure-login.net to avoid suspension.,1
You are being contacted by the Enforcement Directorate regarding your bank account. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. This is a non-bailable offence. You must cooperate immediately or face digital arrest. Send Rs 15 via UPI to this ID immediately to avoid asset seizure.,1
"Good morning, This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. This is Mehta from the school regarding the parent-teacher meeting scheduled next week.",0
"You are being contacted by the Enforcement Directorate regarding your bank account. This is being recorded as evidence for the Supreme Court proceeding. Stay on this call and do not contact any lawyer until verification is complete. I am Inspector Verma from CBI Headquarters, Delhi. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. Send Rs 5 via UPI to this ID immediately to avoid asset seizure.",1
"Good morning, Hi, this is Gupta calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? Hi, this is Khan, I wanted to follow up on the property documents whenever you get a chance. Thanks for your time.",0
ALERT: Unusual sign-in activity detected on your Axis Bank account. Confirm your details within 24 hours: bit.ly/axisbank-verify,1
"This is Officer Sharma calling from the Cyber Crime Cell, Mumbai. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. If you disconnect this call, a team will be sent to your residence within the hour. This is being recorded as evidence for the Supreme Court proceeding. Do not disconnect this video call under any circumstances, this is now an official proceeding.",1
"Hey, Reminder: your gym membership renews next week. No action needed if you'd like to continue. Have a good day.",0
"This is a call from RBI's Fraud Monitoring Cell. This is a non-bailable offence. You must cooperate immediately or face digital arrest. Your case reference number is REF192444, please note it down. To verify your identity and clear your name, transfer Rs 5 to this RBI verification account. I am a Sub-Inspector with the Narcotics Control Bureau.",1
"You have been named in an FIR filed at Mumbai Police Station. This falls under Section 420 of the IT Act and PMLA. Your bank account will be frozen in the next 30 minutes if you do not comply. Do not disconnect this video call under any circumstances, this is now an official proceeding. To verify your identity and clear your name, transfer Rs 15 to this RBI verification account.",1
"This call is from Customs Department, Mumbai Airport division. FIR number 103/2026 has been registered against you. Do not go to the police station yourself, we will guide you through the process here. Send Rs 5 via UPI to this ID immediately to avoid asset seizure. I am a Sub-Inspector with the Narcotics Control Bureau. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious.",1
"You are being contacted by the Enforcement Directorate regarding your bank account. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. Do not disconnect this video call under any circumstances, this is now an official proceeding. To verify your identity and clear your name, transfer Rs 10 to this RBI verification account.",1
"Good morning, This is a survey call about your recent visit to our store, would you have two minutes to share feedback? Hey, are we still meeting for lunch tomorrow? Let me know what time works. Feel free to call back if anything is unclear.",0
"This is a courtesy call from your insurance provider to remind you about your policy renewal, no urgent action is required. Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Have a good day.",0
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. You are being contacted by the Enforcement Directorate regarding your bank account. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. Your Aadhaar number has been used in a money laundering case involving Rs 15 lakh.",1
"You are being contacted by the Enforcement Directorate regarding your bank account. If you disconnect this call, a team will be sent to your residence within the hour. Send Rs 5 via UPI to this ID immediately to avoid asset seizure.",1
"You have been named in an FIR filed at Chennai Police Station. Your case reference number is REF428399, please note it down. I am a Sub-Inspector with the Narcotics Control Bureau. This is a non-bailable offence. You must cooperate immediately or face digital arrest. Share the OTP sent to your phone so we can verify your account is not compromised.",1
"Can you send me the report by end of day? No rush if you're busy, tomorrow morning also works. Thanks for your time.",0
"You are being contacted by the Enforcement Directorate regarding your bank account. This call is from Customs Department, Mumbai Airport division. Share the OTP sent to your phone so we can verify your account is not compromised. Your case reference number is REF808640, please note it down. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol.",1
"This call is from Customs Department, Mumbai Airport division. A warrant has been issued for your arrest under Section 120B unless this is resolved today. Stay on this call and do not contact any lawyer until verification is complete. Transfer funds to this account for RBI clearance, failure to comply will result in arrest. This is being recorded as evidence for the Supreme Court proceeding.",1
Your SBI account will be permanently deactivated unless you verify immediately. Confirm your details within 24 hours: bit.ly/sbi-verify,1
"Hello, This is the income tax department's official portal notification: your refund has been processed, please check the portal at your convenience. Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Have a good day.",0
"Good morning, Hi, this is Nair, I wanted to follow up on the property documents whenever you get a chance. Hi, this is Sharma calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? No urgent action is needed.",0
"Final notice: your SBI KYC has expired, account access will be restricted today. Verify your identity now at sbi-secure-login.net to avoid suspension.",1
"I am a Sub-Inspector with the Narcotics Control Bureau. This is a non-bailable offence. You must cooperate immediately or face digital arrest. Do not disconnect this video call under any circumstances, this is now an official proceeding. Purchase gift cards worth Rs 25 and share the codes for verification purposes.",1
ALERT: Unusual sign-in activity detected on your Flipkart account. Confirm your details within 24 hours: bit.ly/flipkart-verify,1
Purchase gift cards worth Rs 10 and share the codes for verification purposes. This falls under Section 467 of the IT Act and PMLA. I am a Sub-Inspector with the Narcotics Control Bureau. This is a non-bailable offence. You must cooperate immediately or face digital arrest.,1
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. This call is from Customs Department, Mumbai Airport division. Your bank account will be frozen in the next 30 minutes if you do not comply. Share the OTP sent to your phone so we can verify your account is not compromised. Your case reference number is REF237795, please note it down.",1
"Hello, This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. This is a courtesy call from your insurance provider to remind you about your policy renewal, no urgent action is required. Thanks for your time.",0
Your SBI account has been locked due to suspicious activity. Confirm your details within 24 hours: bit.ly/sbi-verify,1
"You have been named in an FIR filed at Mumbai Police Station. This is being recorded as evidence for the Supreme Court proceeding. If you disconnect this call, a team will be sent to your residence within the hour. Send Rs 10 via UPI to this ID immediately to avoid asset seizure. You are not permitted to inform any family member about this investigation, it is confidential. You have been named in an FIR filed at Chennai Police Station.",1
"This is Officer Patel calling from the Cyber Crime Cell, Mumbai. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Transfer funds to this account for RBI clearance, failure to comply will result in arrest. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. You are not permitted to inform any family member about this investigation, it is confidential. This falls under Section 384 of the IT Act and PMLA.",1
"Hi, This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. Feel free to call back if anything is unclear.",0
"I am Inspector Patel from CBI Headquarters, Delhi. This is Officer Iyer calling from the Cyber Crime Cell, Mumbai. Transfer funds to this account for RBI clearance, failure to comply will result in arrest. This falls under Section 420 of the IT Act and PMLA. Your bank account will be frozen in the next 30 minutes if you do not comply.",1
"I am a Sub-Inspector with the Narcotics Control Bureau. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. This call is from Customs Department, Mumbai Airport division. Your Aadhaar number has been used in a money laundering case involving Rs 50 lakh. Stay on this call and do not contact any lawyer until verification is complete.",1
"Dear customer, your HDFC Bank account will be suspended in 24 hours due to KYC non-compliance. Confirm your details within 24 hours: bit.ly/hdfcbank-verify",1
"Hey, This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. Thanks for your time.",0
"Good morning, This is a survey call about your recent visit to our store, would you have two minutes to share feedback? Hi, this is Reddy, I wanted to follow up on the property documents whenever you get a chance. Have a good day.",0
"This is Officer Verma calling from the Cyber Crime Cell, Mumbai. You are being contacted by the Enforcement Directorate regarding your bank account. If you disconnect this call, a team will be sent to your residence within the hour. This falls under Section 420 of the IT Act and PMLA. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"This is being recorded as evidence for the Supreme Court proceeding. To verify your identity and clear your name, transfer Rs 2 to this RBI verification account. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Do not disconnect this video call under any circumstances, this is now an official proceeding. This is a non-bailable offence. You must cooperate immediately or face digital arrest.",1
"Good afternoon, Hi, this is Reddy, I wanted to follow up on the property documents whenever you get a chance. Thanks for your time.",0
"Hello, Reminder: your gym membership renews next week. No action needed if you'd like to continue. Hi, this is Singh calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? Feel free to call back if anything is unclear.",0
"Good morning, This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. This is Iyer from the school regarding the parent-teacher meeting scheduled next week. Feel free to call back if anything is unclear.",0
"Good morning, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. No urgent action is needed.",0
"Hello, This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. Have a good day.",0
This is Verma from the school regarding the parent-teacher meeting scheduled next week. Thanks for your time.,0
"You are being contacted by the Enforcement Directorate regarding your bank account. Your bank account will be frozen in the next 30 minutes if you do not comply. Send Rs 2 via UPI to this ID immediately to avoid asset seizure. You are not permitted to inform any family member about this investigation, it is confidential. This is being recorded as evidence for the Supreme Court proceeding.",1
Your SBI account has been locked due to suspicious activity. Click here to verify: http://sbi-kyc-verify.com/update,1
"Good morning, Hey, are we still meeting for lunch tomorrow? Let me know what time works. Let me know if you have any questions.",0
"Good afternoon, Hi, this is Khan calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? Let me know if you have any questions.",0
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Do not go to the police station yourself, we will guide you through the process here. To verify your identity and clear your name, transfer Rs 2 to this RBI verification account. Your case reference number is REF885829, please note it down. This is a non-bailable offence. You must cooperate immediately or face digital arrest.",1
"Hey, This is Airtel customer care. We noticed your data pack expires today, would you like to renew it? This is a survey call about your recent visit to our store, would you have two minutes to share feedback? Thanks for your time.",0
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. A parcel booked in your name containing illegal substances was intercepted at customs. You are not permitted to inform any family member about this investigation, it is confidential. Your case reference number is REF958130, please note it down. Send Rs 5 via UPI to this ID immediately to avoid asset seizure.",1
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. I am a Sub-Inspector with the Narcotics Control Bureau. You are not permitted to inform any family member about this investigation, it is confidential. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"This is Officer Khan calling from the Cyber Crime Cell, Mumbai. To verify your identity and clear your name, transfer Rs 2 to this RBI verification account. I am a Sub-Inspector with the Narcotics Control Bureau. FIR number 518/2026 has been registered against you. A warrant has been issued for your arrest under Section 420 unless this is resolved today. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol.",1
"Hi, Hi, this is Patel calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it. Feel free to call back if anything is unclear.",0
"This is Officer Singh calling from the Cyber Crime Cell, Mumbai. This is a call from RBI's Fraud Monitoring Cell. This is a non-bailable offence. You must cooperate immediately or face digital arrest. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol. Share the OTP sent to your phone so we can verify your account is not compromised.",1
"I am Inspector Patel from CBI Headquarters, Delhi. This is a non-bailable offence. You must cooperate immediately or face digital arrest. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. This falls under Section 420 of the IT Act and PMLA. Do not disconnect this video call under any circumstances, this is now an official proceeding. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"Hi, Hi, this is Reddy, I wanted to follow up on the property documents whenever you get a chance. Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Have a good day.",0
"You have been named in an FIR filed at Kolkata Police Station. Do not disconnect this video call under any circumstances, this is now an official proceeding. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. This is being recorded as evidence for the Supreme Court proceeding. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. You have been named in an FIR filed at Mumbai Police Station.",1
"This is a courtesy call from your insurance provider to remind you about your policy renewal, no urgent action is required. Congratulations, your loan application has been approved, our relationship manager will call you to explain the next steps at your convenience. Feel free to call back if anything is unclear.",0
"You have been named in an FIR filed at Pune Police Station. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. This is being recorded as evidence for the Supreme Court proceeding. I am a Sub-Inspector with the Narcotics Control Bureau. To verify your identity and clear your name, transfer Rs 15 to this RBI verification account.",1
"Hi, just checking in about the delivery of your order, it should arrive by Thursday. This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. Have a good day.",0
"This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it.",0
You have been named in an FIR filed at Mumbai Police Station. Stay on this call and do not contact any lawyer until verification is complete. Send Rs 10 via UPI to this ID immediately to avoid asset seizure. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Your bank account will be frozen in the next 30 minutes if you do not comply.,1
"Hi, Hi, just checking in about the delivery of your order, it should arrive by Thursday.",0
